NAME_LATIN,Area_sqm,Bedrooms,Bathrooms,Rooms,Levels,PriceEuro,PricePerM2,Year,dist_coast,dist_beach,dist_city,oiki_densi,pop_densi,age,near_coast,near_beach,near_city,longitude,latitude,geohash_lat,geohash_lng,property_business,property_land,property_other,property_residential
D. MYTILHNHS,908,0,0,0,0,27000,30.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,110000,44.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,800,0,0,0,0,120000,150.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2000,0,0,0,0,180000,90.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1200,0,0,0,0,55000,46.0,2019,2.524,1.496,1.293,0.24595,36196.0,61,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1000,0,0,0,0,200000,200.0,2018,2.524,1.496,1.293,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1000,0,0,0,0,50000,50.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,816,0,0,0,0,26000,32.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2600,0,0,0,0,35000,13.0,2019,2.524,1.496,1.293,0.24595,36196.0,61,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1900,0,0,0,0,200000,105.0,2018,2.524,1.496,1.293,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,130000,52.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,800,0,0,0,0,150000,188.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,868,0,0,0,0,55000,63.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2000,0,0,0,0,100000,50.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,24000,10.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1150,0,0,0,0,90000,78.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,819,0,0,0,0,90000,110.0,2017,2.524,1.496,1.293,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2300,0,0,0,0,110000,48.0,2018,2.524,1.496,1.293,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,1027,0,0,0,0,150000,146.0,2019,2.524,1.496,1.293,0.24595,36196.0,61,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,65000,26.0,2018,2.524,1.496,1.293,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. RODOY (EPI THS OMVNYMOY NHSOY)_1,178,4,4,0,0,250000,1404.0,2019,2.477,1.761,2.6719999999999997,0.15388,10251.0,0,0,0,0,28.21404,36.419990000000006,36.4,28.2,0,0,0,1
D. RODOY (EPI THS OMVNYMOY NHSOY)_1,260,3,0,0,0,200000,769.0,2019,2.477,1.761,2.6719999999999997,0.15388,10251.0,0,0,0,0,28.21404,36.419990000000006,36.4,28.2,0,0,0,1
D. RODOY (EPI THS OMVNYMOY NHSOY)_1,175,3,0,0,0,120000,686.0,2019,2.477,1.761,2.6719999999999997,0.15388,10251.0,0,0,0,0,28.21404,36.419990000000006,36.4,28.2,0,0,0,1
K. GAZIOY,180,0,0,0,0,250000,1389.0,2018,2.67,2.1630000000000003,7.370999999999999,0.37433,13581.0,-1,0,0,0,25.059479999999997,35.32217,35.3,25.1,0,0,0,1
D. XANIVN,252,3,2,0,0,300000,1190.0,2019,1.484,1.871,1.7740000000000002,0.07902999999999999,9080.5,1,0,0,0,24.036270000000002,35.511990000000004,35.5,24.0,0,0,0,1
K. MADENHS,1000,0,0,0,0,850000,850.0,2019,3.32,5.397999999999999,14.828,0.36423,11041.0,3,0,0,0,21.964760000000002,37.03705,37.0,22.0,1,0,0,0
